VERTEX = 140
239.5 130.0 231.8
229.0 130.0 250.0
226.0 100.0 250.0
238.0 100.0 270.8
262.0 100.0 270.8
274.0 100.0 250.0
262.0 100.0 229.2
238.0 100.0 229.2
226.0 100.0 250.0
226.0 86.0 250.0
238.0 86.0 270.8
262.0 86.0 270.8
274.0 86.0 250.0
262.0 86.0 229.2
238.0 86.0 229.2
226.0 86.0 250.0
224.0 70.0 250.0
237.0 70.0 272.5
263.0 70.0 272.5
276.0 70.0 250.0
263.0 70.0 227.5
237.0 70.0 227.5
224.0 70.0 250.0
223.0 60.0 250.0
236.5 60.0 273.4
263.5 60.0 273.4
277.0 60.0 250.0
263.5 60.0 226.6
236.5 60.0 226.6
223.0 60.0 250.0
FACE = 228
0 8 1
0 7 8
1 9 2
1 8 9
2 10 3
2 9 10
3 11 4
3 10 11
4 12 5
4 11 12
5 13 6
5 12 13
7 15 8
7 14 15
8 16 9
8 15 16
9 17 10
9 16 17
10 18 11
10 17 18
11 19 12
11 18 19
12 20 13
12 19 20
14 22 15
14 21 22
15 23 16
15 22 23
16 24 17
16 23 24
17 25 18
17 24 25
18 26 19
18 25 26
19 27 20
19 26 27
21 29 22
21 28 29
22 30 23
22 29 30
23 31 24
23 30 31
24 32 25
24 31 32
25 33 26
25 32 33
26 34 27
26 33 34
28 36 29
28 35 36
29 37 30
29 36 37
30 38 31
30 37 38
31 39 32
31 38 39
32 40 33
32 39 40
33 41 34
33 40 41
35 43 36
35 42 43
36 44 37
36 43 44
37 45 38
37 44 45
38 46 39
38 45 46
39 47 40
39 46 47
40 48 41
40 47 48
42 50 43
42 49 50
43 51 44
43 50 51
44 52 45
44 51 52
45 53 46
45 52 53
46 54 47
46 53 54
47 55 48
47 54 55
49 57 50
49 56 57
50 58 51
50 57 58
51 59 52
51 58 59
52 60 53
52 59 60
53 61 54
53 60 61
54 62 55
54 61 62
56 64 57
56 63 64
57 65 58
57 64 65
58 66 59
58 65 66
59 67 60
59 66 67
60 68 61
60 67 68
61 69 62
61 68 69
63 71 64
63 70 71
64 72 65
64 71 72
65 73 66
65 72 73
66 74 67
66 73 74
67 75 68
67 74 75
68 76 69
68 75 76
70 78 71
70 77 78
71 79 72
71 78 79
72 80 73
72 79 80
73 81 74
73 80 81
74 82 75
74 81 82
75 83 76
75 82 83
77 85 78
77 84 85
78 86 79
78 85 86
79 87 80
79 86 87
80 88 81
80 87 88
81 89 82
81 88 89
82 90 83
82 89 90
84 92 85
84 91 92
85 93 86
85 92 93
86 94 87
86 93 94
87 95 88
87 94 95
88 96 89
88 95 96
89 97 90
89 96 97
91 99 92
91 98 99
92 100 93
92 99 100
93 101 94
93 100 101
94 102 95
94 101 102
95 103 96
95 102 103
96 104 97
96 103 104
98 106 99
98 105 106
99 107 100
99 106 107
100 108 101
100 107 108
101 109 102
101 108 109
102 110 103
102 109 110
103 111 104
103 110 111
105 113 106
105 112 113
106 114 107
106 113 114
107 115 108
107 114 115
108 116 109
108 115 116
109 117 110
109 116 117
110 118 111
110 117 118
112 120 113
112 119 120
113 121 114
113 120 121
114 122 115
114 121 122
115 123 116
115 122 123
116 124 117
116 123 124
117 125 118
117 124 125
119 127 120
119 126 127
120 128 121
120 127 128
121 129 122
121 128 129
122 130 123
122 129 130
123 131 124
123 130 131
124 132 125
124 131 132
126 134 127
126 133 134
127 135 128
127 134 135
128 136 129
128 135 136
129 137 130
129 136 137
130 138 131
130 137 138
131 139 132
131 138 139
